Group,Signal/Net,GPIO,ESP32-S3 Pin
GND,GND,,pin 1
Power,EN,-,pin 3
Power,BOOT,IO0,pin 27
,,,
USB,USB_D-,USB_DN,pin 13
USB,USB_D+,USB_DP,pin 14
,,,
UART0,ESP_TX,IO37,pin 37
UART0,ESP_RX,IO36,pin 36
,,,
JTAG,JTAG_TCK,IO39,pin 32
JTAG,JTAG_TMS,IO40,pin 33
JTAG,JTAG_TDI,IO41,pin 34
JTAG,JTAG_TDO,IO42,pin 35
,,,
I2C,I2C_SCL,IO17,pin 10
I2C,I2C_SDA,IO18,pin 11
,,,
SPI2,SPI_SCK,IO4,pin 4
SPI2,SPI_MOSI,IO5,pin 5
SPI2,SPI_MISO,IO6,pin 6
,,,
TFT,LCD_CS,IO7,pin 7
TFT,LCD_DC,IO10,pin 18
TFT,LCD_RST,IO16,pin 9
TFT,LCD_LED (BL),IO8,pin 12
SD_CS,SD_CS,IO9,pin 17
,,,
I2C Audio Amp,I2S_LRCK,IO48,pin 25
I2C Audio Amp,I2S_BCLK,IO47,pin 24
xI2C Audio Amp,SD_MODE,IO1,pin 39
I2C Audio Amp,I2S_DOUT,IO21,pin 23
